-5698.644043, 208.966049, -3011.263184
-6861.846191, 208.974869, -3016.479736
-6856.073242, 208.981903, -3410.111816
-6722.134277, 208.981903, -3357.749756
-6600.129395, 208.981476, -3369.854492
-6500.493652, 208.981903, -3470.023926
-6520.726074, 208.981903, -3650.964600
-6588.958496, 208.981903, -3772.211426
-6534.264160, 208.981903, -3925.906006
-6278.145996, 208.980682, -3577.257080
-6517.883789, 208.978424, -3230.444092
-6402.858887, 208.896713, -3173.533203
-5906.281250, 208.897125, -3668.043945
